"","Player","Pos","TS.","USG.","player.id","url","G","MP","FT%","ftr.16.17","perc.0.3","perc.3.10","perc.10.16","perc.16.3","perc.3","0.3.perc","3.10.perc","10.16.perc","16.3.perc","3.perc","player.ids.16.17"
"101","Darrun Hilliard","SG",".459","19.3","hillida01","https://www.basketball-reference.com/players/h/hillida01.html",39,381,0.75,0.222,".135",".135",".079",".286",".365",".647",".294",".500",".389",".261","hillida01"
"102","David Lee","PF",".613","16.9","leeda02","https://www.basketball-reference.com/players/l/leeda02.html",79,1477,0.708,0.269,".600",".245",".081",".074",".000",".706",".417",".471",".355","","leeda02"
"103","David Nwaba","SG",".611","11.8","nwabada01","https://www.basketball-reference.com/players/n/nwabada01.html",20,397,0.641,0.481,".753",".123",".025",".037",".062",".656",".500",".000",".333",".200","nwabada01"
"104","David West","C",".571","17.9","westda01","https://www.basketball-reference.com/players/w/westda01.html",68,854,0.768,0.222,".274",".210",".103",".381",".032",".667",".509",".385",".510",".375","westda01"
"105","Davis Bertans","PF",".609","15.7","bertada01","https://www.basketball-reference.com/players/b/bertada01.html",67,808,0.824,0.145,".150",".030",".026",".056",".739",".714",".286",".167",".462",".399","bertada01"
"106","DeAndre Jordan","C",".673","15.3","jordade01","https://www.basketball-reference.com/players/j/jordade01.html",81,2570,0.482,0.737,".877",".120",".000",".000",".003",".753",".449","","",".000","jordade01"
"107","DeAndre Liggins","SG",".476","11.6","liggide01","https://www.basketball-reference.com/players/l/liggide01.html",62,777,0.625,0.282,".451",".092",".028",".106",".324",".531",".077",".000",".200",".370","liggide01"
"108","DeAndre' Bembry","SF",".481","14.2","bembrde01","https://www.basketball-reference.com/players/b/bembrde01.html",38,371,0.375,0.163,".582",".092",".092",".051",".184",".632",".333",".333",".800",".056","bembrde01"
"109","Dejounte Murray","PG",".503","23.5","murrade01","https://www.basketball-reference.com/players/m/murrade01.html",38,322,0.7,0.259,".293",".362",".095",".052",".198",".559",".452",".182",".167",".391","murrade01"
"110","Delon Wright","PG",".535","16.6","wrighde01","https://www.basketball-reference.com/players/w/wrighde01.html",27,446,0.764,0.474,".379",".233",".069",".052",".259",".568",".407",".375",".000",".333","wrighde01"
"111","DeMar DeRozan","SG",".552","34.3","derozde01","https://www.basketball-reference.com/players/d/derozde01.html",74,2620,0.842,0.419,".158",".216",".236",".310",".080",".668",".482",".493",".384",".266","derozde01"
"112","DeMarcus Cousins","C",".562","36.5","couside01","https://www.basketball-reference.com/players/c/couside01.html",72,2465,0.772,0.468,".338",".214",".054",".139",".254",".604",".408",".312",".372",".360","couside01"
"113","DeMarre Carroll","SF",".530","15.6","carrode01","https://www.basketball-reference.com/players/c/carrode01.html",72,1882,0.761,0.213,".169",".133",".044",".073",".583",".634",".370",".375",".400",".341","carrode01"
"114","Demetrius Jackson","PG",".753","17.3","jacksde01","https://www.basketball-reference.com/players/j/jacksde01.html",5,17,0.5,1.5,".250",".000",".000",".500",".250","1.000","","",".500","1.000","jacksde01"
"115","Dennis Schroder","PG",".533","27.8","schrode01","https://www.basketball-reference.com/players/s/schrode01.html",79,2485,0.855,0.21,".374",".125",".091",".168",".242",".558",".382",".387",".456",".340","schrode01"
"116","Denzel Valentine","SG",".492","15.4","valende01","https://www.basketball-reference.com/players/v/valende01.html",57,976,0.778,0.063,".076",".090",".042",".069",".722",".545",".231",".417",".300",".351","valende01"
"117","Deron Williams","PG",".541","22.1","willide01","https://www.basketball-reference.com/players/w/willide01.html",64,1657,0.826,0.182,".135",".145",".112",".218",".390",".543",".494",".433",".473",".363","willide01"
"118","Derrick Favors","PF",".512","20.7","favorde01","https://www.basketball-reference.com/players/f/favorde01.html",50,1186,0.615,0.261,".391",".201",".177",".206",".024",".607",".476",".432",".337",".300","favorde01"
"119","Derrick Jones","SF",".604","11.7","jonesde02","https://www.basketball-reference.com/players/j/jonesde02.html",32,545,0.707,0.339,".620",".149",".050",".083",".091",".733",".278",".500",".200",".273","jonesde02"
"120","Derrick Rose","PG",".530","25.7","rosede01","https://www.basketball-reference.com/players/r/rosede01.html",64,2082,0.874,0.259,".411",".201",".149",".177",".061",".557",".413",".432",".457",".217","rosede01"
"121","Derrick Williams","PF",".537","17.2","willide02","https://www.basketball-reference.com/players/w/willide02.html",50,804,0.652,0.365,".369",".053",".057",".119",".398",".589",".308",".500",".483",".309","willide02"
"122","Devin Booker","SG",".531","28.6","bookede01","https://www.basketball-reference.com/players/b/bookede01.html",78,2730,0.832,0.308,".202",".129",".156",".229",".283",".578",".443",".381",".381",".363","bookede01"
"123","Devin Harris","PG",".549","19.7","harride01","https://www.basketball-reference.com/players/h/harride01.html",65,1087,0.829,0.378,".270",".109",".012",".091",".519",".565",".297",".500",".419",".328","harride01"
"124","Dewayne Dedmon","C",".645","12.3","dedmode01","https://www.basketball-reference.com/players/d/dedmode01.html",76,1330,0.699,0.359,".722",".178",".058",".042",".000",".706",".391",".400",".455","","dedmode01"
"125","Deyonta Davis","C",".528","12.0","davisde01","https://www.basketball-reference.com/players/d/davisde01.html",36,238,0.556,0.383,".638",".149",".021",".191",".000",".633",".571",".000",".111","","davisde01"
"126","Diamond Stone","C",".339","31.3","stonedi01","https://www.basketball-reference.com/players/s/stonedi01.html",7,24,1,0.308,".308",".231",".154",".308",".000",".250",".000",".000",".500","","stonedi01"
"127","Dion Waiters","SG",".507","26.3","waitedi01","https://www.basketball-reference.com/players/w/waitedi01.html",46,1384,0.646,0.192,".345",".077",".051",".201",".324",".507",".294",".235",".429",".395","waitedi01"
"128","Dirk Nowitzki","PF",".529","25.8","nowitdi01","https://www.basketball-reference.com/players/n/nowitdi01.html",54,1424,0.875,0.165,".062",".053",".217",".360",".308",".571",".444",".476",".439",".378","nowitdi01"
"129","Domantas Sabonis","PF",".469","15.4","sabondo01","https://www.basketball-reference.com/players/s/sabondo01.html",81,1632,0.657,0.139,".283",".206",".067",".114",".331",".551",".333",".219",".473",".321","sabondo01"
"130","Donatas Motiejunas","PF",".470","17.6","motiedo01","https://www.basketball-reference.com/players/m/motiedo01.html",34,479,0.51,0.355,".188",".399",".065",".007",".341",".692",".436",".444",".000",".234","motiedo01"
"131","Dorian Finney-Smith","PF",".486","11.6","finnedo01","https://www.basketball-reference.com/players/f/finnedo01.html",81,1642,0.754,0.183,".261",".075",".024",".069",".574",".609",".280",".125",".304",".293","finnedo01"
"132","Doug McDermott","SF",".554","16.4","mcderdo01","https://www.basketball-reference.com/players/m/mcderdo01.html",66,1508,0.845,0.169,".185",".135",".115",".149",".416",".620",".433",".439",".459",".372","mcderdo01"
"133","Dragan Bender","PF",".440","14.4","bendedr01","https://www.basketball-reference.com/players/b/bendedr01.html",43,574,0.364,0.068,".205",".062",".019",".087",".627",".576",".500",".667",".214",".277","bendedr01"
"134","Draymond Green","PF",".522","16.2","greendr01","https://www.basketball-reference.com/players/g/greendr01.html",76,2471,0.709,0.328,".394",".138",".035",".031",".405",".637",".211",".174",".250",".308","greendr01"
"135","Dwight Howard","C",".627","19.2","howardw01","https://www.basketball-reference.com/players/h/howardw01.html",74,2199,0.533,0.692,".757",".175",".029",".038",".003",".735",".327",".333",".261",".000","howardw01"
"136","Dwight Powell","C",".588","16.7","poweldw01","https://www.basketball-reference.com/players/p/poweldw01.html",77,1333,0.759,0.374,".446",".103",".053",".199",".196",".762",".385",".400",".293",".284","poweldw01"
"137","Dwyane Wade","SG",".508","29.6","wadedw01","https://www.basketball-reference.com/players/w/wadedw01.html",60,1792,0.794,0.294,".250",".160",".206",".232",".152",".569",".425",".431",".374",".310","wadedw01"
"138","E'Twaun Moore","SG",".537","17.4","mooreet01","https://www.basketball-reference.com/players/m/mooreet01.html",73,1820,0.77,0.12,".192",".199",".139",".137",".336",".681",".488",".360",".400",".370","mooreet01"
"139","Ed Davis","PF",".563","12.0","davised01","https://www.basketball-reference.com/players/d/davised01.html",46,789,0.617,0.57,".718",".275",".007",".000",".000",".578",".385","1.000","","","davised01"
"140","Edy Tavares","C",".633","13.2","tavarwa01","https://www.basketball-reference.com/players/t/tavarwa01.html",2,28,0,0.6,".400",".600",".000",".000",".000","1.000",".667","","","","tavarwa01"
"141","Elfrid Payton","PG",".520","21.6","paytoel01","https://www.basketball-reference.com/players/p/paytoel01.html",82,2412,0.692,0.231,".424",".219",".088",".106",".160",".610",".430",".363",".402",".274","paytoel01"
"142","Elijah Millsap","SG",".190","18.0","millsel01","https://www.basketball-reference.com/players/m/millsel01.html",2,23,0.5,0.286,".286",".143",".000",".286",".286",".500",".000","",".000",".000","millsel01"
"143","Emmanuel Mudiay","PG",".483","22.6","mudiaem01","https://www.basketball-reference.com/players/m/mudiaem01.html",55,1406,0.784,0.303,".363",".113",".111",".094",".323",".505",".290",".262",".327",".315","mudiaem01"
"144","Enes Kanter","C",".599","27.3","kanteen01","https://www.basketball-reference.com/players/k/kanteen01.html",72,1533,0.786,0.387,".571",".212",".081",".084",".052",".637",".526",".333",".435",".132","kanteen01"
"145","Eric Bledsoe","PG",".563","28.1","bledser01","https://www.basketball-reference.com/players/b/bledser01.html",66,2176,0.847,0.443,".278",".143",".105",".178",".300",".606",".459",".385",".332",".335","bledser01"
"146","Eric Gordon","SG",".557","22.1","gordoer01","https://www.basketball-reference.com/players/g/gordoer01.html",75,2323,0.84,0.172,".194",".094",".015",".044",".651",".574",".365",".200",".333",".372","gordoer01"
"147","Ersan Ilyasova","PF",".546","22.2","ilyaser01","https://www.basketball-reference.com/players/i/ilyaser01.html",82,2142,0.778,0.233,".245",".098",".081",".124",".452",".601",".368",".375",".473",".353","ilyaser01"
"148","Evan Fournier","SG",".555","23.5","fournev01","https://www.basketball-reference.com/players/f/fournev01.html",68,2234,0.805,0.298,".276",".166",".065",".105",".387",".591",".416",".450",".378",".356","fournev01"
"149","Evan Turner","SF",".491","18.5","turneev01","https://www.basketball-reference.com/players/t/turneev01.html",65,1658,0.825,0.187,".197",".176",".263",".149",".214",".550",".536",".421",".378",".263","turneev01"
"150","Frank Kaminsky","C",".502","21.8","kaminfr01","https://www.basketball-reference.com/players/k/kaminfr01.html",75,1954,0.756,0.195,".214",".213",".074",".056",".441",".587",".427",".305",".267",".328","kaminfr01"
"151","Fred VanVleet","PG",".443","20.6","vanvlfr01","https://www.basketball-reference.com/players/v/vanvlfr01.html",37,294,0.818,0.198,".378",".180",".063",".108",".261",".429",".100",".429",".417",".379","vanvlfr01"
"152","Garrett Temple","SG",".545","14.2","templga01","https://www.basketball-reference.com/players/t/templga01.html",65,1728,0.784,0.171,".190",".069",".076",".153",".509",".646",".467",".455",".288",".373","templga01"
"153","Gary Harris","SG",".611","18.4","harriga01","https://www.basketball-reference.com/players/h/harriga01.html",57,1782,0.776,0.21,".383",".096",".042",".077",".400",".656",".361",".444",".388",".420","harriga01"
"154","Gary Neal","SG",".228","21.2","nealga01","https://www.basketball-reference.com/players/n/nealga01.html",2,18,1,0.571,".000",".000",".143",".571",".286","","",".000",".000",".000","nealga01"
"155","Gary Payton","PG",".413","15.8","paytoga02","https://www.basketball-reference.com/players/p/paytoga02.html",6,99,0.6,0.227,".364",".136",".091",".000",".409",".750",".000",".500","",".111","paytoga02"
"156","George Hill","PG",".599","23.5","hillge01","https://www.basketball-reference.com/players/h/hillge01.html",49,1544,0.801,0.323,".203",".134",".144",".132",".384",".675",".469",".483",".400",".403","hillge01"
"157","Georges Niang","PF",".285","20.2","niangge01","https://www.basketball-reference.com/players/n/niangge01.html",23,93,1,0.056,".306",".250",".083",".028",".333",".455",".333",".000",".000",".083","niangge01"
"158","Georgios Papagiannis","C",".573","16.9","papagge01","https://www.basketball-reference.com/players/p/papagge01.html",22,355,0.857,0.137,".363",".392",".157",".069",".020",".730",".500",".438",".286",".000","papagge01"
"159","Gerald Green","SF",".524","22.7","greenge01","https://www.basketball-reference.com/players/g/greenge01.html",47,538,0.805,0.177,".147",".095",".164",".121",".478",".647",".364",".395",".393",".351","greenge01"
"160","Gerald Henderson","SG",".529","17.9","hendege02","https://www.basketball-reference.com/players/h/hendege02.html",72,1667,0.806,0.298,".203",".119",".190",".172",".313",".634",".364",".410",".368",".353","hendege02"
"161","Giannis Antetokounmpo","SF",".599","28.3","antetgi01","https://www.basketball-reference.com/players/a/antetgi01.html",80,2845,0.77,0.486,".496",".149",".064",".146",".143",".709",".394",".338",".342",".272","antetgi01"
"162","Glenn Robinson","SF",".564","12.8","robingl02","https://www.basketball-reference.com/players/r/robingl02.html",69,1427,0.711,0.225,".228",".101",".080",".222",".370",".623",".441",".481",".427",".392","robingl02"
"163","Goran Dragic","PG",".575","27.1","dragigo01","https://www.basketball-reference.com/players/d/dragigo01.html",73,2459,0.79,0.335,".267",".187",".177",".113",".257",".610",".486",".417",".386",".405","dragigo01"
"164","Gordon Hayward","SF",".595","27.6","haywago01","https://www.basketball-reference.com/players/h/haywago01.html",73,2516,0.844,0.371,".230",".126",".138",".181",".324",".692",".425",".444",".378",".398","haywago01"
"165","Gorgui Dieng","PF",".555","14.0","dienggo01","https://www.basketball-reference.com/players/d/dienggo01.html",82,2653,0.814,0.253,".337",".177",".135",".286",".065",".641",".436",".449",".434",".372","dienggo01"
"166","Greg Monroe","C",".572","24.3","monrogr01","https://www.basketball-reference.com/players/m/monrogr01.html",81,1823,0.741,0.329,".569",".303",".055",".066",".006",".620",".414",".475",".438",".000","monrogr01"
"167","Greivis Vasquez","PG",".376","11.3","vasqugr01","https://www.basketball-reference.com/players/v/vasqugr01.html",3,39,0.667,0.375,".125",".375",".125",".000",".375",".000",".000","1.000","",".333","vasqugr01"
"168","Harrison Barnes","PF",".541","25.3","barneha02","https://www.basketball-reference.com/players/b/barneha02.html",79,2803,0.861,0.22,".183",".186",".194",".265",".173",".679",".483",".452",".398",".351","barneha02"
"169","Hassan Whiteside","C",".579","22.7","whiteha01","https://www.basketball-reference.com/players/w/whiteha01.html",77,2513,0.628,0.368,".445",".374",".106",".075",".000",".741",".423",".398",".370","","whiteha01"
"170","Henry Ellenson","PF",".444","24.7","ellenhe01","https://www.basketball-reference.com/players/e/ellenhe01.html",19,146,0.5,0.125,".219",".047",".047",".156",".547",".643",".333",".000",".300",".286","ellenhe01"
"171","Hollis Thompson","SG",".482","13.0","thompho01","https://www.basketball-reference.com/players/t/thompho01.html",40,752,0.655,0.145,".235",".120",".075",".095",".475",".553",".375",".400",".211",".337","thompho01"
"172","Ian Clark","SG",".575","19.5","clarkia01","https://www.basketball-reference.com/players/c/clarkia01.html",77,1137,0.759,0.134,".236",".127",".139",".122",".376",".676",".436",".467",".547",".374","clarkia01"
"173","Ian Mahinmi","C",".601","14.0","mahinia01","https://www.basketball-reference.com/players/m/mahinia01.html",31,555,0.573,0.676,".631",".324",".027",".009",".000",".657",".500",".333",".000","","mahinia01"
"174","Iman Shumpert","SG",".536","14.0","shumpim01","https://www.basketball-reference.com/players/s/shumpim01.html",76,1937,0.789,0.184,".151",".049",".065",".198",".534",".622",".125",".375",".474",".360","shumpim01"
"175","Isaiah Canaan","SG",".483","15.4","canaais01","https://www.basketball-reference.com/players/c/canaais01.html",39,592,0.909,0.191,".150",".127",".064",".116",".543",".538",".636",".273",".350",".266","canaais01"
"176","Isaiah Taylor","PG",".190","6.4","taylois01","https://www.basketball-reference.com/players/t/taylois01.html",4,52,0.5,0.286,".286",".286",".000",".143",".286",".000",".000","","1.000",".000","taylois01"
"177","Isaiah Thomas","PG",".625","34.0","thomais02","https://www.basketball-reference.com/players/t/thomais02.html",76,2569,0.909,0.441,".331",".104",".064",".062",".439",".589",".359",".516",".500",".379","thomais02"
"178","Isaiah Whitehead","PG",".487","18.2","whiteis01","https://www.basketball-reference.com/players/w/whiteis01.html",73,1643,0.805,0.222,".386",".169",".057",".094",".293",".520",".384",".345",".313",".295","whiteis01"
"179","Ish Smith","PG",".477","20.5","smithis01","https://www.basketball-reference.com/players/s/smithis01.html",81,1955,0.706,0.136,".294",".171",".142",".252",".140",".573",".328",".491",".429",".267","smithis01"
"180","Ivica Zubac","C",".547","20.3","zubaciv01","https://www.basketball-reference.com/players/z/zubaciv01.html",38,609,0.653,0.206,".403",".399",".092",".088",".013",".615",".474",".455",".571",".000","zubaciv01"
"181","J.J. Barea","PG",".521","26.2","bareajo01","https://www.basketball-reference.com/players/b/bareajo01.html",35,771,0.863,0.149,".146",".169",".125",".128",".431",".540",".414",".442",".432",".358","bareajo01"
"182","J.J. Redick","SG",".599","22.0","redicjj01","https://www.basketball-reference.com/players/r/redicjj01.html",78,2198,0.891,0.227,".076",".056",".049",".293",".526",".559",".480",".341",".452",".429","redicjj01"
"183","J.R. Smith","SG",".484","14.6","smithjr01","https://www.basketball-reference.com/players/s/smithjr01.html",41,1187,0.667,0.042,".067",".034",".039",".101",".761",".625",".000",".357",".222",".351","smithjr01"
"184","Jabari Parker","PF",".563","26.5","parkeja01","https://www.basketball-reference.com/players/p/parkeja01.html",51,1728,0.743,0.268,".416",".146",".069",".150",".219",".673",".361",".286",".385",".365","parkeja01"
"185","Jae Crowder","SF",".613","17.0","crowdja01","https://www.basketball-reference.com/players/c/crowdja01.html",72,2335,0.811,0.301,".213",".039",".038",".164",".547",".739",".321",".444",".356",".398","crowdja01"
"186","Jahlil Okafor","C",".546","24.1","okafoja01","https://www.basketball-reference.com/players/o/okafoja01.html",50,1134,0.671,0.335,".408",".374",".161",".055",".000",".698",".409",".382",".269","","okafoja01"
"187","Jake Layman","SF",".404","19.0","laymaja01","https://www.basketball-reference.com/players/l/laymaja01.html",35,249,0.765,0.191,".191",".056",".022",".157",".573",".471",".400",".500",".143",".255","laymaja01"
"188","Jakob Poeltl","C",".589","12.1","poeltja01","https://www.basketball-reference.com/players/p/poeltja01.html",54,626,0.544,0.496,".722",".235",".035",".009",".000",".614",".519",".500",".000","","poeltja01"
"189","Jamal Crawford","SG",".525","22.7","crawfja01","https://www.basketball-reference.com/players/c/crawfja01.html",82,2157,0.857,0.233,".093",".125",".122",".292",".371",".556",".385",".434",".433",".360","crawfja01"
"190","Jamal Murray","SG",".518","21.6","murraja01","https://www.basketball-reference.com/players/m/murraja01.html",82,1764,0.883,0.164,".226",".096",".090",".116",".471",".612",".357",".379",".341",".334","murraja01"
"191","Jameer Nelson","PG",".544","15.8","nelsoja01","https://www.basketball-reference.com/players/n/nelsoja01.html",75,2045,0.714,0.104,".212",".079",".056",".200",".452",".594",".479",".324",".430",".388","nelsoja01"
"192","James Ennis","SF",".581","13.0","ennisja01","https://www.basketball-reference.com/players/e/ennisja01.html",64,1501,0.782,0.343,".421",".075",".012",".065",".427",".600",".250",".500",".286",".372","ennisja01"
"193","James Harden","PG",".613","34.2","hardeja01","https://www.basketball-reference.com/players/h/hardeja01.html",81,2947,0.847,0.575,".242",".134",".076",".053",".493",".682",".364",".419",".427",".347","hardeja01"
"194","James Johnson","PF",".564","22.0","johnsja01","https://www.basketball-reference.com/players/j/johnsja01.html",76,2085,0.707,0.28,".354",".159",".083",".073",".333",".632",".451",".469",".429",".340","johnsja01"
"195","James Jones","SF",".655","13.0","jonesja02","https://www.basketball-reference.com/players/j/jonesja02.html",48,381,0.65,0.217,".065",".022",".054",".141",".717",".667",".000",".800",".385",".470","jonesja02"
"196","James Michael McAdoo","PF",".543","14.6","mcadoja01","https://www.basketball-reference.com/players/m/mcadoja01.html",52,457,0.5,0.359,".590",".188",".077",".085",".068",".667",".364",".444",".200",".250","mcadoja01"
"197","James Young","SG",".549","13.3","youngja01","https://www.basketball-reference.com/players/y/youngja01.html",29,220,0.667,0.155,".172",".086",".069",".069",".603",".900",".400",".250",".250",".343","youngja01"
"198","JaMychal Green","PF",".601","14.4","greenja01","https://www.basketball-reference.com/players/g/greenja01.html",77,2101,0.802,0.334,".434",".084",".058",".136",".290",".608",".310",".414",".559",".379","greenja01"
"199","Jared Dudley","PF",".579","13.8","dudleja01","https://www.basketball-reference.com/players/d/dudleja01.html",64,1362,0.662,0.188,".147",".032",".061",".173",".587",".706",".364",".524",".483",".379","dudleja01"
"200","Jared Sullinger","PF",".366","20.7","sullija01","https://www.basketball-reference.com/players/s/sullija01.html",11,118,0.5,0.17,".250",".146",".083",".146",".375",".583",".143",".500",".286",".167","sullija01"
"201","Jarell Eddie","SF",".523","16.2","eddieja01","https://www.basketball-reference.com/players/e/eddieja01.html",5,62,0.889,0.474,".105",".000",".053",".000",".842","1.000","",".000","",".250","eddieja01"
"202","Jarell Martin","PF",".477","16.4","martija01","https://www.basketball-reference.com/players/m/martija01.html",42,558,0.8,0.331,".517",".099",".040",".179",".166",".423",".200",".500",".370",".360","martija01"
"203","Jarnell Stokes","C",".798","11.4","stokeja01","https://www.basketball-reference.com/players/s/stokeja01.html",2,7,0.5,2,"1.000",".000",".000",".000",".000","1.000","","","","","stokeja01"
"204","Jarrett Jack","PG",".773","9.2","jackja01","https://www.basketball-reference.com/players/j/jackja01.html",2,33,1,0.667,".333",".000",".000",".333",".333","1.000","","","1.000",".000","jackja01"
"205","Jarrod Uthoff","PF",".487","18.1","uthofja01","https://www.basketball-reference.com/players/u/uthofja01.html",9,115,0.714,0.184,".237",".211",".184",".132",".237",".556",".500",".429",".200",".333","uthofja01"
"206","Jason Smith","C",".598","16.7","smithja02","https://www.basketball-reference.com/players/s/smithja02.html",74,1068,0.686,0.155,".173",".076",".097",".416",".237",".667",".400",".531",".526",".474","smithja02"
"207","Jason Terry","SG",".600","9.8","terryja01","https://www.basketball-reference.com/players/t/terryja01.html",74,1365,0.828,0.119,".115",".074",".049",".058",".704",".500",".500",".333",".357",".427","terryja01"
"208","JaVale McGee","C",".642","23.8","mcgeeja01","https://www.basketball-reference.com/players/m/mcgeeja01.html",77,739,0.505,0.348,".777",".188",".019",".003",".013",".730",".400",".500",".000",".000","mcgeeja01"
"209","Jaylen Brown","SF",".539","18.1","brownja02","https://www.basketball-reference.com/players/b/brownja02.html",78,1341,0.685,0.293,".404",".130",".076",".073",".319",".614",".382",".344",".290",".341","brownja02"
"210","Jeff Green","PF",".505","20.3","greenje02","https://www.basketball-reference.com/players/g/greenje02.html",69,1534,0.863,0.301,".233",".174",".111",".136",".346",".562",".433",".419",".342",".275","greenje02"
"211","Jeff Teague","PG",".574","22.1","teaguje01","https://www.basketball-reference.com/players/t/teaguje01.html",82,2657,0.867,0.457,".237",".295",".099",".091",".277",".558",".407",".500",".458",".357","teaguje01"
"212","Jeff Withey","C",".588","14.9","witheje01","https://www.basketball-reference.com/players/w/witheje01.html",51,432,0.75,0.466,".777",".165",".019",".029",".010",".600",".235","1.000",".333",".000","witheje01"
"213","Jerami Grant","SF",".556","12.1","grantje01","https://www.basketball-reference.com/players/g/grantje01.html",80,1531,0.612,0.448,".375",".131",".049",".091",".354",".642",".395",".250",".300",".371","grantje01"
"214","Jeremy Lamb","SG",".550","23.2","lambje01","https://www.basketball-reference.com/players/l/lambje01.html",62,1143,0.853,0.263,".230",".161",".165",".147",".297",".699",".481",".481",".403",".281","lambje01"
"215","Jeremy Lin","PG",".566","26.6","linje01","https://www.basketball-reference.com/players/l/linje01.html",36,883,0.816,0.353,".235",".153",".098",".125",".390",".553",".377",".538",".420",".372","linje01"
"216","Jerian Grant","PG",".555","16.0","grantje02","https://www.basketball-reference.com/players/g/grantje02.html",63,1028,0.89,0.243,".179",".096",".113",".166",".445",".630",".345",".441",".400",".366","grantje02"
"217","Jerryd Bayless","PG",".453","27.7","bayleje01","https://www.basketball-reference.com/players/b/bayleje01.html",3,71,0.9,0.313,".313",".094",".250",".188",".156",".700",".333",".125",".000",".400","bayleje01"
"218","Jimmy Butler","SF",".586","26.5","butleji01","https://www.basketball-reference.com/players/b/butleji01.html",76,2809,0.865,0.54,".282",".125",".164",".232",".198",".612",".513",".376",".366",".367","butleji01"
"219","Joakim Noah","C",".491","12.6","noahjo01","https://www.basketball-reference.com/players/n/noahjo01.html",46,1015,0.436,0.386,".886",".090",".000",".015",".005",".534",".222","",".000",".000","noahjo01"
"220","Jodie Meeks","SG",".567","19.4","meeksjo01","https://www.basketball-reference.com/players/m/meeksjo01.html",36,738,0.878,0.289,".148",".074",".105",".137",".535",".526",".421",".259",".343",".409","meeksjo01"
"221","Joe Harris","SG",".558","16.5","harrijo01","https://www.basketball-reference.com/players/h/harrijo01.html",52,1138,0.714,0.135,".249",".066",".017",".058",".610",".556",".417",".500",".286",".385","harrijo01"
"222","Joe Ingles","SF",".604","13.9","inglejo01","https://www.basketball-reference.com/players/i/inglejo01.html",82,1972,0.735,0.151,".182",".073",".040",".086",".619",".671",".333",".222",".282",".441","inglejo01"
"223","Joe Johnson","SF",".542","18.5","johnsjo02","https://www.basketball-reference.com/players/j/johnsjo02.html",78,1843,0.818,0.123,".077",".224",".126",".157",".412",".708",".457",".405",".378",".411","johnsjo02"
"224","Joe Young","PG",".433","27.8","youngjo01","https://www.basketball-reference.com/players/y/youngjo01.html",33,135,0.733,0.208,".181",".083",".153",".264",".319",".462",".500",".273",".474",".217","youngjo01"
"225","Joel Anthony","C",".640","8.7","anthojo01","https://www.basketball-reference.com/players/a/anthojo01.html",19,122,0.625,0.5,".563",".313",".125",".000",".000",".778",".400",".500","","","anthojo01"
"226","Joel Bolomboy","PF",".590","18.2","bolomjo01","https://www.basketball-reference.com/players/b/bolomjo01.html",12,53,0.5,0.375,".500",".188",".000",".063",".250",".750",".667","",".000",".250","bolomjo01"
"227","Joel Embiid","C",".584","36.0","embiijo01","https://www.basketball-reference.com/players/e/embiijo01.html",31,786,0.783,0.569,".324",".191",".170",".086",".228",".640",".366",".370",".486",".367","embiijo01"
"228","Joffrey Lauvergne","C",".509","18.5","lauvejo01","https://www.basketball-reference.com/players/l/lauvejo01.html",70,980,0.63,0.217,".387",".205",".036",".077",".292",".600",".348",".583",".231",".337","lauvejo01"
"229","John Henson","C",".550","16.6","hensojo01","https://www.basketball-reference.com/players/h/hensojo01.html",58,1123,0.692,0.346,".511",".356",".052",".081",".003",".633",".445",".250",".240",".000","hensojo01"
"230","John Jenkins","SG",".595","18.9","jenkijo01","https://www.basketball-reference.com/players/j/jenkijo01.html",4,13,1,0.4,".000",".000",".000",".600",".400","","","",".333",".500","jenkijo01"
"231","John Lucas III","PG",".250","16.1","lucasjo02","https://www.basketball-reference.com/players/l/lucasjo02.html",5,11,NA,0,".250",".000",".500",".000",".250","1.000","",".000","",".000","lucasjo02"
"232","John Wall","PG",".541","30.6","walljo01","https://www.basketball-reference.com/players/w/walljo01.html",78,2836,0.801,0.367,".380",".082",".109",".238",".190",".593",".364",".376",".389",".327","walljo01"
"233","Johnny O'Bryant","PF",".582","21.1","obryajo01","https://www.basketball-reference.com/players/o/obryajo01.html",11,80,0.833,0.2,".300",".167",".200",".133",".200",".667",".400",".500",".250",".500","obryajo01"
"234","Jon Leuer","PF",".551","17.3","leuerjo01","https://www.basketball-reference.com/players/l/leuerjo01.html",75,1944,0.867,0.175,".263",".150",".181",".149",".259",".788",".423",".453",".354",".293","leuerjo01"
"235","Jonas Jerebko","PF",".537","11.4","jerebjo01","https://www.basketball-reference.com/players/j/jerebjo01.html",78,1232,0.703,0.141,".244",".164",".031",".061",".496",".656",".349",".250",".625",".346","jerebjo01"
"236","Jonas Valanciunas","C",".601","19.5","valanjo01","https://www.basketball-reference.com/players/v/valanjo01.html",80,2066,0.811,0.309,".446",".295",".145",".113",".003",".626",".570",".431",".405",".500","valanjo01"
"237","Jonathan Gibson","PG",".492","26.3","gibsojo01","https://www.basketball-reference.com/players/g/gibsojo01.html",17,231,0.724,0.305,".179",".063",".095",".189",".474",".412",".333",".556",".333",".333","gibsojo01"
"238","Jonathon Simmons","SG",".504","18.0","simmojo02","https://www.basketball-reference.com/players/s/simmojo02.html",78,1392,0.75,0.314,".349",".140",".081",".188",".242",".592",".356",".412",".316",".294","simmojo02"
